Reference,Libelle produit (fr),Code famille remise,Nom famille remise,Code EAN,Prix promotion,Prix
419133,RX3 DISJ 1P B6 6000A BIC,1,DISJONCTEURS RX3,3414970366634, 50 000 , 60 000 
419134,RX3 DISJ 1P B10 6000A BIC,1,DISJONCTEURS RX3,3414970366665, 60 000 , 70 000 
419135,RX3 DISJ 1P B13 6000A BIC,1,DISJONCTEURS RX3,3414970366696, 70 000 , 80 000 
419870,RX3 DISJ 2P C6 6000A,1,DISJONCTEURS RX3,3414970369963, 80 000 , 90 000 
419871,RX3 DISJ 2P C10 6000A,1,DISJONCTEURS RX3,3414970369994, 90 000 , 100 000 
419873,RX3 DISJ 2P C16 6000A,1,DISJONCTEURS RX3,3414970370020, 100 000 , 110 000 
419874,RX3 DISJ 2P C20 6000A,1,DISJONCTEURS RX3,3414970370051, 110 000 , 120 000 
410446,DX3 BDA 2P 40A F 300MA,4,BDA DX3,3245064104463, 120 000 , 130 000 
410457,DX3 BDA 2P 63A F-S 300MA,4,BDA DX3,3245064104579, 130 000 , 140 000 
410462,DX3 BDA 2P 63A F-S 1000MA,4,BDA DX3,3245064104623, 140 000 , 150 000 
410471,DX3 BDA 3P 40A AC 30MA,4,BDA DX3,3245064104715, 150 000 , 160 000 
412527,CX3 CT 230V 2F 63A,5,CONTACTEURS CX3,3245064125277, 160 000 , 170 000 
412533,CX3 CT 230V 2O+2F 25A,5,CONTACTEURS CX3,3245064125338, 170 000 , 180 000 
412535,CX3 CT 230V 4F 25A,5,CONTACTEURS CX3,3245064125352, 180 000 , 190 000 
